drug,drug_class,nutrient,interaction_type,confidence,mechanism
budesonide,Intranasal Corticosteroid,Vitamin K,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Chromium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Selenium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Phosphorus,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
budesonide,Intranasal Corticosteroid,Sodium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Calcium,DEPLETES,THEORETICAL,"Systemic bioavailability is low (fluticasone <2%, mometasone <0.1%), but chronic use may have subtle effects on calcium metabolism; high-dose intranasal use shows measurable HPA suppression in some studies"
triamcinolone,Intranasal Corticosteroid,Vitamin D,INCREASES_DEMAND,THEORETICAL,Minimal systemic exposure but theoretical CYP24A1 induction; clinically significant only at high doses or with concurrent oral steroids
triamcinolone,Intranasal Corticosteroid,Magnesium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Zinc,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Iron,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Potassium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Vitamin B12,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Folate (B9),NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Vitamin B6,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Vitamin C,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Vitamin A,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Vitamin K,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Chromium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Selenium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Phosphorus,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
triamcinolone,Intranasal Corticosteroid,Sodium,NO_KNOWN,ESTABLISHED,Intranasal corticosteroids have minimal systemic bioavailability; no clinically significant effect on this nutrient at standard doses
cetirizine,H1 Antihistamine (2nd gen),Zinc,INCREASES_DEMAND,THEORETICAL,Histamine release is zinc-dependent (Zn²⁺ modulates mast cell degranulation); H1 blockade may alter zinc-histamine feedback; cetirizine contains a carboxyl group that could chelate divalent cations in vitro
cetirizine,H1 Antihistamine (2nd gen),Vitamin B6,INCREASES_DEMAND,THEORETICAL,"Histamine synthesis requires histidine decarboxylase (HDC), a PLP-dependent enzyme; H1 blockade may upregulate compensatory histamine production, increasing B6 demand"
cetirizine,H1 Antihistamine (2nd gen),Magnesium,NO_KNOWN,ESTABLISHED,No significant interaction with magnesium absorption or excretion
cetirizine,H1 Antihistamine (2nd gen),Iron,NO_KNOWN,ESTABLISHED,No significant interaction with iron metabolism
cetirizine,H1 Antihistamine (2nd gen),Calcium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
cetirizine,H1 Antihistamine (2nd gen),Vitamin D,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
cetirizine,H1 Antihistamine (2nd gen),Vitamin B12,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
cetirizine,H1 Antihistamine (2nd gen),Folate (B9),NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
cetirizine,H1 Antihistamine (2nd gen),Vitamin C,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
cetirizine,H1 Antihistamine (2nd gen),Vitamin A,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
cetirizine,H1 Antihistamine (2nd gen),Vitamin K,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
cetirizine,H1 Antihistamine (2nd gen),Chromium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
cetirizine,H1 Antihistamine (2nd gen),Selenium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
cetirizine,H1 Antihistamine (2nd gen),Phosphorus,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
cetirizine,H1 Antihistamine (2nd gen),Potassium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
cetirizine,H1 Antihistamine (2nd gen),Sodium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
loratadine,H1 Antihistamine (2nd gen),Zinc,INCREASES_DEMAND,THEORETICAL,Histamine release is zinc-dependent (Zn²⁺ modulates mast cell degranulation); H1 blockade may alter zinc-histamine feedback; cetirizine contains a carboxyl group that could chelate divalent cations in vitro
loratadine,H1 Antihistamine (2nd gen),Vitamin B6,INCREASES_DEMAND,THEORETICAL,"Histamine synthesis requires histidine decarboxylase (HDC), a PLP-dependent enzyme; H1 blockade may upregulate compensatory histamine production, increasing B6 demand"
loratadine,H1 Antihistamine (2nd gen),Magnesium,NO_KNOWN,ESTABLISHED,No significant interaction with magnesium absorption or excretion
loratadine,H1 Antihistamine (2nd gen),Iron,NO_KNOWN,ESTABLISHED,No significant interaction with iron metabolism
loratadine,H1 Antihistamine (2nd gen),Calcium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
loratadine,H1 Antihistamine (2nd gen),Vitamin D,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
loratadine,H1 Antihistamine (2nd gen),Vitamin B12,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
loratadine,H1 Antihistamine (2nd gen),Folate (B9),NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
loratadine,H1 Antihistamine (2nd gen),Vitamin C,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
loratadine,H1 Antihistamine (2nd gen),Vitamin A,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
loratadine,H1 Antihistamine (2nd gen),Vitamin K,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
loratadine,H1 Antihistamine (2nd gen),Chromium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
loratadine,H1 Antihistamine (2nd gen),Selenium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
loratadine,H1 Antihistamine (2nd gen),Phosphorus,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
loratadine,H1 Antihistamine (2nd gen),Potassium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
loratadine,H1 Antihistamine (2nd gen),Sodium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
fexofenadine,H1 Antihistamine (2nd gen),Zinc,INCREASES_DEMAND,THEORETICAL,Histamine release is zinc-dependent (Zn²⁺ modulates mast cell degranulation); H1 blockade may alter zinc-histamine feedback; cetirizine contains a carboxyl group that could chelate divalent cations in vitro
fexofenadine,H1 Antihistamine (2nd gen),Vitamin B6,INCREASES_DEMAND,THEORETICAL,"Histamine synthesis requires histidine decarboxylase (HDC), a PLP-dependent enzyme; H1 blockade may upregulate compensatory histamine production, increasing B6 demand"
fexofenadine,H1 Antihistamine (2nd gen),Magnesium,NO_KNOWN,ESTABLISHED,No significant interaction with magnesium absorption or excretion
fexofenadine,H1 Antihistamine (2nd gen),Iron,BLOCKS_ABSORPTION,THEORETICAL,Fexofenadine is a P-glycoprotein (ABCB1) substrate; fruit juice interactions suggest shared transporter effects; OATP1A2 inhibition could theoretically affect co-transported nutrients
fexofenadine,H1 Antihistamine (2nd gen),Calcium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
fexofenadine,H1 Antihistamine (2nd gen),Vitamin D,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
fexofenadine,H1 Antihistamine (2nd gen),Vitamin B12,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
fexofenadine,H1 Antihistamine (2nd gen),Folate (B9),NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
fexofenadine,H1 Antihistamine (2nd gen),Vitamin C,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
fexofenadine,H1 Antihistamine (2nd gen),Vitamin A,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
fexofenadine,H1 Antihistamine (2nd gen),Vitamin K,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
fexofenadine,H1 Antihistamine (2nd gen),Chromium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
fexofenadine,H1 Antihistamine (2nd gen),Selenium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
fexofenadine,H1 Antihistamine (2nd gen),Phosphorus,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
fexofenadine,H1 Antihistamine (2nd gen),Potassium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
fexofenadine,H1 Antihistamine (2nd gen),Sodium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
desloratadine,H1 Antihistamine (2nd gen),Zinc,INCREASES_DEMAND,THEORETICAL,Histamine release is zinc-dependent (Zn²⁺ modulates mast cell degranulation); H1 blockade may alter zinc-histamine feedback; cetirizine contains a carboxyl group that could chelate divalent cations in vitro
desloratadine,H1 Antihistamine (2nd gen),Vitamin B6,INCREASES_DEMAND,THEORETICAL,"Histamine synthesis requires histidine decarboxylase (HDC), a PLP-dependent enzyme; H1 blockade may upregulate compensatory histamine production, increasing B6 demand"
desloratadine,H1 Antihistamine (2nd gen),Magnesium,NO_KNOWN,ESTABLISHED,No significant interaction with magnesium absorption or excretion
desloratadine,H1 Antihistamine (2nd gen),Iron,NO_KNOWN,ESTABLISHED,No significant interaction with iron metabolism
desloratadine,H1 Antihistamine (2nd gen),Calcium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
desloratadine,H1 Antihistamine (2nd gen),Vitamin D,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
desloratadine,H1 Antihistamine (2nd gen),Vitamin B12,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
desloratadine,H1 Antihistamine (2nd gen),Folate (B9),NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
desloratadine,H1 Antihistamine (2nd gen),Vitamin C,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
desloratadine,H1 Antihistamine (2nd gen),Vitamin A,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
desloratadine,H1 Antihistamine (2nd gen),Vitamin K,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
desloratadine,H1 Antihistamine (2nd gen),Chromium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
desloratadine,H1 Antihistamine (2nd gen),Selenium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
desloratadine,H1 Antihistamine (2nd gen),Phosphorus,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
desloratadine,H1 Antihistamine (2nd gen),Potassium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
desloratadine,H1 Antihistamine (2nd gen),Sodium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
bilastine,H1 Antihistamine (2nd gen),Zinc,INCREASES_DEMAND,THEORETICAL,Histamine release is zinc-dependent (Zn²⁺ modulates mast cell degranulation); H1 blockade may alter zinc-histamine feedback; cetirizine contains a carboxyl group that could chelate divalent cations in vitro
bilastine,H1 Antihistamine (2nd gen),Vitamin B6,INCREASES_DEMAND,THEORETICAL,"Histamine synthesis requires histidine decarboxylase (HDC), a PLP-dependent enzyme; H1 blockade may upregulate compensatory histamine production, increasing B6 demand"
bilastine,H1 Antihistamine (2nd gen),Magnesium,NO_KNOWN,ESTABLISHED,No significant interaction with magnesium absorption or excretion
bilastine,H1 Antihistamine (2nd gen),Iron,NO_KNOWN,ESTABLISHED,No significant interaction with iron metabolism
bilastine,H1 Antihistamine (2nd gen),Calcium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
bilastine,H1 Antihistamine (2nd gen),Vitamin D,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
bilastine,H1 Antihistamine (2nd gen),Vitamin B12,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
bilastine,H1 Antihistamine (2nd gen),Folate (B9),NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
bilastine,H1 Antihistamine (2nd gen),Vitamin C,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
bilastine,H1 Antihistamine (2nd gen),Vitamin A,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
bilastine,H1 Antihistamine (2nd gen),Vitamin K,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
bilastine,H1 Antihistamine (2nd gen),Chromium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
bilastine,H1 Antihistamine (2nd gen),Selenium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
bilastine,H1 Antihistamine (2nd gen),Phosphorus,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
bilastine,H1 Antihistamine (2nd gen),Potassium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
bilastine,H1 Antihistamine (2nd gen),Sodium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
rupatadine,H1 Antihistamine (2nd gen),Zinc,INCREASES_DEMAND,THEORETICAL,Histamine release is zinc-dependent (Zn²⁺ modulates mast cell degranulation); H1 blockade may alter zinc-histamine feedback; cetirizine contains a carboxyl group that could chelate divalent cations in vitro
rupatadine,H1 Antihistamine (2nd gen),Vitamin B6,INCREASES_DEMAND,THEORETICAL,"Histamine synthesis requires histidine decarboxylase (HDC), a PLP-dependent enzyme; H1 blockade may upregulate compensatory histamine production, increasing B6 demand"
rupatadine,H1 Antihistamine (2nd gen),Magnesium,NO_KNOWN,ESTABLISHED,No significant interaction with magnesium absorption or excretion
rupatadine,H1 Antihistamine (2nd gen),Iron,NO_KNOWN,ESTABLISHED,No significant interaction with iron metabolism
rupatadine,H1 Antihistamine (2nd gen),Calcium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
rupatadine,H1 Antihistamine (2nd gen),Vitamin D,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
rupatadine,H1 Antihistamine (2nd gen),Vitamin B12,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
rupatadine,H1 Antihistamine (2nd gen),Folate (B9),NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
rupatadine,H1 Antihistamine (2nd gen),Vitamin C,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
rupatadine,H1 Antihistamine (2nd gen),Vitamin A,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
rupatadine,H1 Antihistamine (2nd gen),Vitamin K,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
rupatadine,H1 Antihistamine (2nd gen),Chromium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
rupatadine,H1 Antihistamine (2nd gen),Selenium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
rupatadine,H1 Antihistamine (2nd gen),Phosphorus,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
rupatadine,H1 Antihistamine (2nd gen),Potassium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
rupatadine,H1 Antihistamine (2nd gen),Sodium,NO_KNOWN,ESTABLISHED,No significant interaction documented for 2nd-gen H1 antihistamines
diphenhydramine,H1 Antihistamine (1st gen),Vitamin B6,INCREASES_DEMAND,THEORETICAL,1st-gen antihistamines have anticholinergic effects that may alter neurotransmitter metabolism; multiple B6-dependent pathways affected
diphenhydramine,H1 Antihistamine (1st gen),Magnesium,DEPLETES,THEORETICAL,Anticholinergic effects may alter GI motility and nutrient transit time; some evidence of altered mineral absorption with chronic anticholinergic use
diphenhydramine,H1 Antihistamine (1st gen),Zinc,INCREASES_DEMAND,THEORETICAL,"Similar to 2nd-gen: histamine-zinc axis modulation; additionally, anticholinergic-induced dry mouth may alter zinc taste perception"
diphenhydramine,H1 Antihistamine (1st gen),Calcium,NO_KNOWN,ESTABLISHED,No direct interaction with calcium metabolism
diphenhydramine,H1 Antihistamine (1st gen),Iron,NO_KNOWN,ESTABLISHED,No significant interaction documented
diphenhydramine,H1 Antihistamine (1st gen),Vitamin D,NO_KNOWN,ESTABLISHED,No significant interaction documented
diphenhydramine,H1 Antihistamine (1st gen),Vitamin B12,NO_KNOWN,ESTABLISHED,No significant interaction documented
diphenhydramine,H1 Antihistamine (1st gen),Folate (B9),NO_KNOWN,ESTABLISHED,No significant interaction documented
diphenhydramine,H1 Antihistamine (1st gen),Vitamin C,NO_KNOWN,ESTABLISHED,No significant interaction documented
diphenhydramine,H1 Antihistamine (1st gen),Vitamin A,NO_KNOWN,ESTABLISHED,No significant interaction documented
diphenhydramine,H1 Antihistamine (1st gen),Vitamin K,NO_KNOWN,ESTABLISHED,No significant interaction documented
diphenhydramine,H1 Antihistamine (1st gen),Chromium,NO_KNOWN,ESTABLISHED,No significant interaction documented
diphenhydramine,H1 Antihistamine (1st gen),Selenium,NO_KNOWN,ESTABLISHED,No significant interaction documented
diphenhydramine,H1 Antihistamine (1st gen),Phosphorus,NO_KNOWN,ESTABLISHED,No significant interaction documented
diphenhydramine,H1 Antihistamine (1st gen),Potassium,NO_KNOWN,ESTABLISHED,No significant interaction documented
diphenhydramine,H1 Antihistamine (1st gen),Sodium,NO_KNOWN,ESTABLISHED,No significant interaction documented
chlorphenamine,H1 Antihistamine (1st gen),Vitamin B6,INCREASES_DEMAND,THEORETICAL,1st-gen antihistamines have anticholinergic effects that may alter neurotransmitter metabolism; multiple B6-dependent pathways affected
chlorphenamine,H1 Antihistamine (1st gen),Magnesium,DEPLETES,THEORETICAL,Anticholinergic effects may alter GI motility and nutrient transit time; some evidence of altered mineral absorption with chronic anticholinergic use
chlorphenamine,H1 Antihistamine (1st gen),Zinc,INCREASES_DEMAND,THEORETICAL,"Similar to 2nd-gen: histamine-zinc axis modulation; additionally, anticholinergic-induced dry mouth may alter zinc taste perception"
chlorphenamine,H1 Antihistamine (1st gen),Calcium,NO_KNOWN,ESTABLISHED,No direct interaction with calcium metabolism
chlorphenamine,H1 Antihistamine (1st gen),Iron,NO_KNOWN,ESTABLISHED,No significant interaction documented
chlorphenamine,H1 Antihistamine (1st gen),Vitamin D,NO_KNOWN,ESTABLISHED,No significant interaction documented
chlorphenamine,H1 Antihistamine (1st gen),Vitamin B12,NO_KNOWN,ESTABLISHED,No significant interaction documented
chlorphenamine,H1 Antihistamine (1st gen),Folate (B9),NO_KNOWN,ESTABLISHED,No significant interaction documented
chlorphenamine,H1 Antihistamine (1st gen),Vitamin C,NO_KNOWN,ESTABLISHED,No significant interaction documented
chlorphenamine,H1 Antihistamine (1st gen),Vitamin A,NO_KNOWN,ESTABLISHED,No significant interaction documented
chlorphenamine,H1 Antihistamine (1st gen),Vitamin K,NO_KNOWN,ESTABLISHED,No significant interaction documented
chlorphenamine,H1 Antihistamine (1st gen),Chromium,NO_KNOWN,ESTABLISHED,No significant interaction documented
chlorphenamine,H1 Antihistamine (1st gen),Selenium,NO_KNOWN,ESTABLISHED,No significant interaction documented
chlorphenamine,H1 Antihistamine (1st gen),Phosphorus,NO_KNOWN,ESTABLISHED,No significant interaction documented
chlorphenamine,H1 Antihistamine (1st gen),Potassium,NO_KNOWN,ESTABLISHED,No significant interaction documented
chlorphenamine,H1 Antihistamine (1st gen),Sodium,NO_KNOWN,ESTABLISHED,No significant interaction documented
clemastine,H1 Antihistamine (1st gen),Vitamin B6,INCREASES_DEMAND,THEORETICAL,1st-gen antihistamines have anticholinergic effects that may alter neurotransmitter metabolism; multiple B6-dependent pathways affected
clemastine,H1 Antihistamine (1st gen),Magnesium,DEPLETES,THEORETICAL,Anticholinergic effects may alter GI motility and nutrient transit time; some evidence of altered mineral absorption with chronic anticholinergic use
clemastine,H1 Antihistamine (1st gen),Zinc,INCREASES_DEMAND,THEORETICAL,"Similar to 2nd-gen: histamine-zinc axis modulation; additionally, anticholinergic-induced dry mouth may alter zinc taste perception"
clemastine,H1 Antihistamine (1st gen),Calcium,NO_KNOWN,ESTABLISHED,No direct interaction with calcium metabolism
clemastine,H1 Antihistamine (1st gen),Iron,NO_KNOWN,ESTABLISHED,No significant interaction documented
clemastine,H1 Antihistamine (1st gen),Vitamin D,NO_KNOWN,ESTABLISHED,No significant interaction documented
clemastine,H1 Antihistamine (1st gen),Vitamin B12,NO_KNOWN,ESTABLISHED,No significant interaction documented
clemastine,H1 Antihistamine (1st gen),Folate (B9),NO_KNOWN,ESTABLISHED,No significant interaction documented
clemastine,H1 Antihistamine (1st gen),Vitamin C,NO_KNOWN,ESTABLISHED,No significant interaction documented
clemastine,H1 Antihistamine (1st gen),Vitamin A,NO_KNOWN,ESTABLISHED,No significant interaction documented
clemastine,H1 Antihistamine (1st gen),Vitamin K,NO_KNOWN,ESTABLISHED,No significant interaction documented
clemastine,H1 Antihistamine (1st gen),Chromium,NO_KNOWN,ESTABLISHED,No significant interaction documented
clemastine,H1 Antihistamine (1st gen),Selenium,NO_KNOWN,ESTABLISHED,No significant interaction documented
clemastine,H1 Antihistamine (1st gen),Phosphorus,NO_KNOWN,ESTABLISHED,No significant interaction documented
clemastine,H1 Antihistamine (1st gen),Potassium,NO_KNOWN,ESTABLISHED,No significant interaction documented
clemastine,H1 Antihistamine (1st gen),Sodium,NO_KNOWN,ESTABLISHED,No significant interaction documented
hydroxyzine,H1 Antihistamine (1st gen),Vitamin B6,INCREASES_DEMAND,THEORETICAL,1st-gen antihistamines have anticholinergic effects that may alter neurotransmitter metabolism; multiple B6-dependent pathways affected
hydroxyzine,H1 Antihistamine (1st gen),Magnesium,DEPLETES,THEORETICAL,Anticholinergic effects may alter GI motility and nutrient transit time; some evidence of altered mineral absorption with chronic anticholinergic use
hydroxyzine,H1 Antihistamine (1st gen),Zinc,INCREASES_DEMAND,THEORETICAL,"Similar to 2nd-gen: histamine-zinc axis modulation; additionally, anticholinergic-induced dry mouth may alter zinc taste perception"
hydroxyzine,H1 Antihistamine (1st gen),Calcium,NO_KNOWN,ESTABLISHED,No direct interaction with calcium metabolism
hydroxyzine,H1 Antihistamine (1st gen),Iron,NO_KNOWN,ESTABLISHED,No significant interaction documented
hydroxyzine,H1 Antihistamine (1st gen),Vitamin D,NO_KNOWN,ESTABLISHED,No significant interaction documented
hydroxyzine,H1 Antihistamine (1st gen),Vitamin B12,NO_KNOWN,ESTABLISHED,No significant interaction documented
